stock_code,基金代码,基金名称,持股数(股),占总股本比例
301282,5939,工银新能源汽车混合A,87.23万,0.58%
301282,2236,大成中证360互联网+指数A,23.54万,0.16%
301282,485114,工银添颐债券A,20.00万,0.13%
301282,4413,建信民丰回报定期开放混合,5000,0.00%
301359,9885,新华景气行业混合A,3271,0.00%
301359,15137,国富均衡增长混合A,3271,0.00%
301359,12301,易方达核心智造混合,3271,0.00%
301359,828,宏利转型机遇股票A,3271,0.00%
301359,13341,工银核心机遇混合A,3271,0.00%
301359,14874,惠升惠远回报混合A,3271,0.00%
301359,10264,鹏华成长智选混合A,3271,0.00%
301359,960,招商医药健康产业股票,3271,0.00%
301359,9931,淳厚欣享A,3271,0.00%
301359,15443,惠升惠享启睿混合A,3271,0.00%
300620,168207,中融创业板两年定开混合,8.09万,0.05%
300620,10570,新沃创新领航混合A,8.00万,0.05%
300620,12143,新沃内需增长混合A,2.01万,0.01%
2527,7130,中庚小盘价值股票,78.01万,0.12%
2527,159667,国泰中证机床ETF,67.76万,0.10%
2527,6551,中庚价值领航混合,44.76万,0.07%
2527,159663,华夏中证机床ETF,19.90万,0.03%
2527,562500,华夏中证机器人ETF,12.37万,0.02%
2527,159628,万家国证2000ETF,11.53万,0.02%
2527,159770,机器人ETF,8.08万,0.01%
2527,562360,机器人YH,5.61万,0.01%
2527,970041,国海量化优选一年持有股票A,5.17万,0.01%
2527,4457,光大保德信多策略智选18个月混合,2500,0.00%
300460,159939,广发中证全指信息技术ETF,12.05万,0.04%
300460,620007,金元顺安优质精选灵活配置混合A类,4.47万,0.02%
300460,970041,国海量化优选一年持有股票A,2.54万,0.01%
300460,942,广发信息技术联接A,400,0.00%
988,10723,中欧价值成长混合A,321.09万,0.32%
988,652,博时裕隆混合A,293.33万,0.29%
988,12463,博时成长优势混合A,253.38万,0.25%
988,9210,中欧嘉和三年混合A,215.77万,0.21%
988,10678,中欧均衡成长混合A,194.14万,0.19%
988,977,长城环保主题混合A,142.63万,0.14%
988,159667,国泰中证机床ETF,142.11万,0.14%
988,16592,长城远见成长混合A,116.69万,0.12%
988,2542,长城久鼎混合A,67.41万,0.07%
988,10049,长城成长先锋混合A,66.76万,0.07%
301328,166002,中欧新蓝筹混合A,56.20万,0.77%
301328,14562,易方达品质动能三年持有混合A,51.82万,0.71%
301328,270028,广发制造业精选混合A,47.11万,0.64%
301328,166001,中欧新趋势混合（LOF）A,42.31万,0.58%
301328,1938,中欧时代先锋股票A,38.06万,0.52%
301328,920003,中金新锐集合计划A,37.19万,0.51%
301328,860016,光大阳光启明星创新驱动混合A,12.73万,0.17%
301328,8185,诺安研究优选混合A,8.79万,0.12%
301328,2282,平安安享灵活配置混合A,1.53万,0.02%
301328,8726,平安添裕债券A,6894,0.01%
688123,7490,南方信息创新混合A,108.45万,0.90%
688123,506000,南方科创板3年定开混合,98.75万,0.82%
688123,11403,融通鑫新成长混合A,75.00万,0.62%
688123,1150,融通互联网传媒灵活配置混合,47.00万,0.39%
688123,14854,嘉实中证半导体指数增强发起式A,44.13万,0.36%
688123,6348,银华盛利混合发起式A,42.94万,0.36%
688123,1542,国泰互联网+股票,30.67万,0.25%
688123,519606,国泰金鑫股票A,25.51万,0.21%
688123,717,融通转型三动力灵活配置混合A/B,18.35万,0.15%
688123,742,国泰新经济灵活配置混合A,17.49万,0.14%
300928,590002,中邮核心成长混合,78.00万,0.97%
300928,1210,天弘互联网混合A,67.81万,0.85%
300928,7128,天弘增强回报A,47.37万,0.59%
300928,9986,天弘创新领航A,22.57万,0.28%
300928,15769,天弘低碳经济混合A,20.03万,0.25%
300928,160926,大成创业板两年定开混合A,15.51万,0.19%
300928,12258,天弘鑫悦成长A,14.48万,0.18%
300928,161017,富国中证500指数增强（LOF）A/B,13.26万,0.17%
300928,161039,富国中证1000指数增强（LOF）A,12.83万,0.16%
300928,1345,富国新收益灵活配置混合A,12.14万,0.15%
2036,163402,兴全趋势投资混合（LOF）,4757.77万,4.43%
2036,163412,兴全轻资产混合（LOF）,1067.07万,0.99%
2036,11338,兴全合远两年持有混合A,987.01万,0.92%
2036,340006,兴全全球视野股票,587.61万,0.55%
2036,12210,申万菱信智能汽车A,156.84万,0.15%
2036,519957,长信睿进混合A,142.59万,0.13%
2036,986,太平灵活配置,136.60万,0.13%
2036,15718,财通资管均衡臻选混合A,110.89万,0.10%
2036,15867,国泰君安中证1000指数增强A,35.69万,0.03%
2036,15495,景顺长城中证1000指数增强A,20.22万,0.02%
2229,159628,万家国证2000ETF,20.61万,0.04%
600601,512100,南方中证1000ETF,2400,0.00%
2567,720001,财通价值动量混合,1966.52万,1.42%
2567,1480,财通成长优选混合,1300.01万,0.94%
2567,377150,摩根健康品质生活混合A,1041.18万,0.75%
2567,5106,银华农业产业股票发起式A,902.99万,0.65%
2567,9476,建信食品饮料行业股票A,583.26万,0.42%
2567,164403,前海开源沪港深农业混合（LOF）A,501.93万,0.36%
2567,1917,招商量化精选股票A,443.32万,0.32%
2567,14915,财通匠心优选一年持有期混合A,388.57万,0.28%
2567,630009,华商稳定增利债券A,363.81万,0.26%
2567,8983,财通科技创新混合A,297.83万,0.21%
301045,6195,国金量化多因子A,1.21万,0.01%
301045,4720,华夏睿磐泰茂混合A,7518,0.01%
301045,14805,国金量化精选A,3900,0.00%
301045,2560,诺安和鑫混合,3350,0.00%
301045,4986,鹏华策略回报混合,3350,0.00%
301045,5937,工银精选金融地产混合A,3350,0.00%
301045,7146,鹏华研究智选混合,3350,0.00%
301045,10264,鹏华成长智选混合A,3350,0.00%
301045,7340,南方科技创新混合A,1750,0.00%
301045,2000,工银新生利混合,450,0.00%
600230,5313,万家中证1000指数增强A,131.37万,0.31%
600230,13781,浙商汇金卓越配置一年持有混合（FOF)A,21.12万,0.05%
600230,7666,华夏鼎泓债券A,8.30万,0.02%
600230,10157,汇安中证500增强A,4.61万,0.01%
600230,9113,浙商汇金卓越优选3个月,2.41万,0.01%
300177,5313,万家中证1000指数增强A,268.51万,0.36%
600105,5313,万家中证1000指数增强A,428.04万,0.30%
600105,14831,兴银中证1000指数增强A,32.74万,0.02%
600105,6857,蜂巢卓睿混合A,3.99万,0.00%
2409,161005,富国天惠成长混合（LOF）A/B,800.00万,1.68%
2409,159995,华夏国证半导体芯片ETF,575.12万,1.21%
2409,10003,景顺长城电子信息产业股票A类,347.96万,0.73%
2409,40015,华安动态灵活配置混合A,157.69万,0.33%
2409,10792,华安成长先锋混合A,102.81万,0.22%
2409,12719,华夏新兴经济一年持有混合A,96.93万,0.20%
2409,14007,华安制造升级一年持有混合A,96.74万,0.20%
2409,40001,华安创新混合,86.68万,0.18%
2409,6154,华安制造先锋混合A,84.29万,0.18%
2409,14389,华安产业动力6个月持有混合A,56.97万,0.12%
300127,516150,嘉实中证稀土产业ETF,53.62万,0.17%
2115,6,西部利得量化成长混合A,269.11万,0.33%
2115,10779,西部利得量化优选一年持有期混合A,105.63万,0.13%
688668,1410,信澳新能源产业股票,125.13万,1.27%
688668,1521,国寿安保成长优选股票A,66.60万,0.67%
688668,3567,华夏行业景气混合,57.85万,0.59%
688668,14254,信澳智远三年持有期混合A,50.07万,0.51%
688668,460001,华泰柏瑞盛世中国混合,46.14万,0.47%
688668,12608,信澳领先智选混合,38.53万,0.39%
688668,11188,信澳星奕混合A,34.28万,0.35%
688668,8082,国寿安保研究精选混合A,2.60万,0.03%
688668,4833,先锋聚利A,2000,0.00%
601127,8903,广发科技先锋混合,1969.62万,1.32%
601127,12967,广发行业严选三年持有期混合A,1723.65万,1.15%
601127,5911,广发双擎升级混合A,1500.19万,1.00%
601127,162703,广发小盘成长混合(LOF)A,1420.30万,0.95%
601127,12079,信澳新能源精选混合,968.69万,0.65%
601127,4854,广发中证全指汽车指数A,389.51万,0.26%
601127,3745,广发多元新兴股票,254.63万,0.17%
601127,14500,华宸未来稳健添盈债券A,9500,0.00%
601127,11987,财通资管智选核心回报6个月持有期混合A,4400,0.00%
601127,11084,财通资管新添益6个月持有期混合A,1300,0.00%
600353,11486,博时创新精选混合A,254.75万,0.43%
600353,12082,博时数字经济混合A,177.81万,0.30%
600353,50022,博时回报混合,101.71万,0.17%
600353,15880,中欧小盘成长混合A,43.77万,0.07%
600353,14135,中欧金安量化混合A,43.60万,0.07%
600353,1990,中欧数据挖掘混合A,34.52万,0.06%
600353,8778,嘉实中证500指数增强A,9.14万,0.02%
600353,6230,鹏华研究驱动混合,7.70万,0.01%
2453,1822,华商智能生活混合A,1830.00万,2.07%
2453,1933,华商新兴活力混合,677.43万,0.77%
2453,10550,华商双擎领航混合,650.00万,0.74%
2453,13886,华商新能源汽车混合A,482.34万,0.55%
2453,10966,富国成长领航混合,251.00万,0.28%
2453,10662,富国均衡优选混合,215.65万,0.24%
2453,14350,华商卓越成长一年持有混合A,160.00万,0.18%
2453,512100,南方中证1000ETF,89.66万,0.10%
2453,560010,广发中证1000ETF,57.05万,0.06%
2453,159845,华夏中证1000ETF,53.22万,0.06%
300243,15553,融通价值成长混合A,30.00万,0.13%
300243,6195,国金量化多因子A,11.37万,0.05%
300243,160323,华夏磐泰混合（LOF）A,10.37万,0.04%
300243,6972,金鹰民安回报定开A,9.99万,0.04%
300243,14805,国金量化精选A,6.22万,0.03%
300243,10253,兴银中证500指数增强A,5.05万,0.02%
300243,850007,海通智选B,3.45万,0.01%
300243,850004,海通量化价值精选B,2.98万,0.01%
300243,2182,东兴蓝海财富混合,8000,0.00%
300243,970041,国海量化优选一年持有股票A,6200,0.00%
300445,11685,创金合信先进装备股票A,30.11万,0.14%
809,5443,国金量化多策略A,2.36万,0.00%
809,6189,国金量化添利,3800,0.00%
809,6195,国金量化多因子A,700,0.00%
600975,1938,中欧时代先锋股票A,2808.83万,2.61%
600975,3634,嘉实农业产业股票A,1185.58万,1.10%
600975,166002,中欧新蓝筹混合A,949.14万,0.88%
600975,377150,摩根健康品质生活混合A,801.79万,0.74%
600975,166001,中欧新趋势混合（LOF）A,666.92万,0.62%
600975,2685,中欧丰泓沪港深灵活配置混合A,538.89万,0.50%
600975,164403,前海开源沪港深农业混合（LOF）A,458.26万,0.43%
600975,3857,前海开源周期优选混合A,257.53万,0.24%
600975,630009,华商稳定增利债券A,118.66万,0.11%
600975,969,前海开源大安全混合,108.95万,0.10%
300572,166002,中欧新蓝筹混合A,202.57万,0.88%
300572,14560,东方汽车产业趋势混合A,29.45万,0.13%
688525,159639,南方中证上海环交所碳中和ETF,4614,0.00%
688525,159667,国泰中证机床ETF,4614,0.00%
688525,512330,南方中证500信息技术ETF,4614,0.00%
688525,5561,创金合信中证红利低波动指数A,4614,0.00%
688525,12543,嘉实中证新能源汽车指数A,4614,0.00%
688525,159625,嘉实国证绿色电力ETF,4614,0.00%
688525,159713,富国中证稀土产业ETF,4614,0.00%
688525,159973,弘毅远方国证民企领先100ETF,4614,0.00%
688525,161027,富国中证全指证券公司指数A,4614,0.00%
688525,515160,招商MSCI中国A股国际通ETF,4614,0.00%
301255,10701,恒越内需驱动混合A,34.32万,0.50%
301255,6049,恒越研究精选混合A/B,31.91万,0.47%
301255,7811,淳厚信泽A,24.00万,0.35%
301255,10513,淳厚益加债券A,18.00万,0.26%
301255,1877,宝盈国家安全沪港深股票A,14.41万,0.21%
301255,11349,淳厚现代服务业A,9.00万,0.13%
301255,17107,淳厚优加一年持有混合A,6.00万,0.09%
300422,10534,广发均衡增长混合A,1600,0.00%
300422,320003,诺安先锋混合A,41,0.00%
300489,159939,广发中证全指信息技术ETF,3.78万,0.03%
300489,942,广发信息技术联接A,700,0.00%
605589,5313,万家中证1000指数增强A,461.48万,0.59%
605589,4359,创金合信量化核心混合A,3.40万,0.00%
